Keyword,Searches: Feb 2014,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Searches: Oct 2014,Searches: Nov 2014,Searches: Dec 2014,Searches: Jan 2015,Searches: Feb 2015,Searches: Mar 2015,Searches: Apr 2015,Searches: May 2015,Searches: Jun 2015,Searches: Jul 2015,Searches: Aug 2015,Searches: Sep 2015,Searches: Oct 2015,Searches: Nov 2015,Searches: Dec 2015,Searches: Jan 2016
accounting,40500,40500,40500,40500,33100,33100,40500,49500,49500,49500,40500,49500,49500,49500,49500,40500,40500,40500,49500,60500,60500,49500,49500,60500
actuators,2400,2400,2400,2400,1900,2400,2400,2900,2900,2900,2400,2900,2900,2900,2900,2400,2400,2400,2400,2900,3600,2900,2400,2900
adhesives,1600,1900,1600,1600,1300,1300,1300,1600,2400,1600,1600,1600,1600,1900,1600,1600,1600,1900,2400,2400,2400,2900,2400,2400
adult entertainment,12100,14800,14800,14800,14800,14800,14800,14800,14800,12100,12100,14800,12100,12100,12100,14800,12100,14800,14800,14800,14800,12100,12100,14800
advertising,33100,40500,40500,33100,27100,27100,27100,40500,40500,40500,33100,40500,40500,40500,40500,33100,27100,33100,33100,33100,33100,33100,27100,33100
aerospace,9900,12100,12100,12100,9900,9900,12100,14800,12100,12100,9900,12100,12100,14800,14800,14800,12100,12100,14800,14800,14800,14800,12100,14800
agricultural,3600,4400,4400,4400,2900,2400,3600,6600,5400,4400,3600,4400,4400,5400,5400,4400,2900,2900,4400,6600,6600,6600,4400,5400
agricultural machinery,590,590,590,480,480,480,390,480,390,390,320,390,320,320,480,390,390,260,320,480,390,390,320,390
agricultural services,70,70,70,70,50,50,110,90,140,140,70,140,170,210,260,110,70,90,110,140,260,140,90,110
air conditioning,8100,9900,22200,40500,40500,33100,22200,22200,12100,12100,8100,12100,12100,22200,27100,40500,60500,60500,40500,33100,18100,14800,14800,14800
air freight,1300,1600,1600,1600,1300,1300,1600,1600,1900,1600,1600,1600,1900,1900,1600,1600,1600,1900,2400,2400,2400,2400,2400,2400
air fresheners,1600,1600,1600,1600,1900,1600,1600,1900,2400,1600,1600,1600,1600,1900,1600,1600,1600,1900,1600,1900,1600,1600,1600,1600
aircraft,9900,12100,9900,9900,8100,8100,9900,12100,9900,9900,9900,9900,9900,14800,9900,9900,9900,9900,12100,12100,12100,18100,14800,18100
aircraft equipment,30,90,50,30,20,20,20,20,30,40,20,40,30,40,30,40,50,30,20,40,30,40,20,40
airlines,110000,135000,110000,110000,110000,110000,90500,90500,90500,90500,90500,110000,110000,135000,110000,110000,135000,135000,110000,110000,110000,90500,90500,135000
airports,6600,8100,6600,6600,6600,6600,5400,6600,6600,5400,6600,6600,6600,8100,6600,8100,6600,8100,8100,8100,8100,8100,8100,12100
alternative medicine,12100,12100,12100,9900,8100,8100,8100,9900,12100,12100,9900,12100,12100,12100,12100,9900,8100,9900,9900,9900,12100,12100,9900,12100
aluminum,110000,110000,110000,110000,90500,90500,90500,135000,135000,135000,110000,135000,135000,135000,135000,135000,110000,90500,110000,135000,165000,165000,135000,135000
ammunitions,170,170,170,140,140,170,210,170,210,170,170,170,210,210,210,170,170,170,170,210,210,210,260,210
amusement parks,14800,22200,22200,33100,33100,33100,22200,14800,12100,8100,6600,8100,9900,14800,18100,22200,22200,22200,18100,12100,12100,12100,12100,18100
animal feed,590,720,720,590,590,720,480,590,720,720,590,720,590,720,1000,880,590,720,590,720,880,720,880,880
animal processing,70,50,50,40,70,50,50,90,90,110,70,90,70,70,70,50,50,40,90,110,140,110,70,110
antique dealers,1000,1300,1300,1300,1300,1600,1600,1300,1300,1000,1000,1600,1300,1300,1300,1300,1600,1900,1600,1600,1600,1600,1300,1600
antiques,40500,49500,40500,40500,33100,40500,40500,27100,33100,27100,27100,33100,27100,27100,27100,27100,27100,27100,33100,27100,27100,27100,27100,33100
apparel,33100,40500,40500,33100,33100,33100,40500,40500,40500,40500,40500,40500,40500,49500,40500,40500,40500,40500,49500,49500,49500,49500,49500,49500
appliances,33100,40500,33100,33100,33100,33100,33100,33100,33100,40500,33100,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,49500,40500,40500
application software,5400,3600,2900,2900,1900,1600,3600,9900,6600,3600,3600,4400,5400,4400,3600,3600,2400,1900,4400,9900,6600,4400,3600,5400
artificial sweeteners,12100,14800,12100,9900,9900,9900,8100,22200,14800,12100,9900,12100,9900,12100,12100,9900,9900,9900,9900,9900,9900,9900,8100,12100
auto manufacturers,1000,1000,880,880,880,880,880,880,880,880,720,1000,880,880,880,880,880,880,880,880,880,880,880,880
auto parts,246000,301000,301000,301000,246000,301000,301000,246000,246000,246000,246000,246000,246000,301000,301000,301000,301000,301000,301000,301000,301000,301000,301000,301000
automobiles,4400,5400,4400,4400,2900,2900,2900,4400,4400,4400,3600,4400,4400,4400,4400,3600,2900,2900,2900,3600,5400,5400,2900,4400
automotive accessories,880,1000,880,880,880,720,880,720,880,1000,1000,720,880,880,880,880,880,880,880,720,880,880,1000,880
automotive batteries,1300,1300,1300,1000,1300,1300,1300,1300,1300,1900,1600,1900,1300,1000,880,720,1000,720,880,880,1000,1000,880,1000
automotive body parts,260,390,320,210,260,260,210,260,260,260,210,260,320,390,320,320,260,260,320,260,260,260,210,260
baby food,14800,18100,14800,18100,14800,14800,14800,14800,18100,18100,14800,18100,18100,22200,22200,22200,18100,18100,18100,18100,22200,22200,18100,22200
bakery,49500,60500,60500,60500,49500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,74000,74000,74000,74000,74000,90500,90500
ball bearings,12100,12100,9900,9900,9900,9900,9900,9900,12100,9900,9900,12100,9900,12100,12100,12100,9900,12100,12100,9900,9900,12100,12100,12100
banks,90500,110000,110000,90500,110000,110000,110000,135000,135000,110000,110000,110000,90500,110000,90500,110000,90500,90500,90500,90500,90500,110000,90500,90500
bars,74000,90500,74000,74000,74000,74000,74000,90500,74000,74000,74000,74000,74000,90500,90500,90500,74000,90500,90500,110000,110000,110000,135000,135000
bathroom fixtures,8100,8100,6600,6600,6600,8100,8100,6600,8100,6600,6600,8100,8100,8100,8100,6600,8100,8100,8100,8100,8100,8100,6600,9900
batteries,33100,33100,33100,33100,33100,33100,27100,33100,40500,40500,40500,40500,33100,40500,40500,40500,33100,33100,40500,40500,40500,49500,49500,49500
bauxite,12100,12100,14800,12100,8100,6600,8100,14800,14800,12100,12100,14800,12100,12100,12100,12100,8100,9900,9900,14800,12100,12100,12100,14800
beauty supplies,3600,3600,3600,3600,2900,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
beef,40500,40500,40500,40500,40500,40500,40500,40500,49500,49500,49500,49500,49500,60500,49500,49500,49500,60500,60500,60500,74000,60500,60500,74000
bicycle manufacturing,40,30,40,50,20,40,30,50,40,40,30,30,40,50,40,40,20,20,20,50,40,30,20,20
Biodiesel,14800,18100,18100,14800,9900,9900,9900,12100,14800,14800,12100,12100,12100,14800,14800,12100,9900,8100,9900,12100,12100,12100,9900,9900
biomedical devices,260,320,320,320,210,140,260,320,480,480,210,390,320,390,390,260,210,210,260,320,320,390,260,320
biometric,4400,5400,5400,4400,4400,4400,4400,6600,6600,6600,5400,6600,5400,6600,6600,5400,4400,4400,5400,6600,6600,8100,6600,6600
biopharmaceuticals,390,480,390,390,320,320,320,480,480,320,320,390,390,390,390,390,320,320,320,390,390,480,320,390
biotechnology,40500,40500,40500,40500,22200,18100,27100,40500,33100,33100,27100,40500,40500,40500,40500,40500,22200,22200,33100,40500,33100,33100,27100,40500
biotherapeutic drugs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10
birth control,74000,74000,90500,90500,74000,90500,74000,74000,90500,90500,90500,90500,90500,90500,110000,110000,110000,110000,90500,90500,90500,90500,90500,110000
books,246000,246000,246000,246000,201000,165000,246000,301000,246000,246000,246000,301000,246000,246000,246000,246000,201000,165000,246000,301000,246000,246000,246000,301000
bottled water,12100,14800,14800,14800,12100,12100,14800,12100,14800,12100,12100,14800,14800,18100,18100,18100,22200,18100,18100,14800,18100,14800,14800,22200
branding,18100,18100,18100,18100,18100,14800,14800,18100,22200,18100,14800,18100,18100,22200,22200,18100,18100,14800,18100,18100,22200,18100,14800,18100
breakfast cereal,1900,1900,1900,1600,1600,1600,1900,2400,2400,2900,1900,2900,2400,2900,2400,1900,2900,2400,2900,2900,3600,4400,4400,5400
breweries,3600,4400,4400,4400,5400,5400,6600,6600,5400,5400,4400,5400,5400,6600,6600,6600,8100,9900,9900,8100,8100,8100,9900,12100
bridge construction,1000,1600,880,880,720,720,720,880,1000,1300,1000,1000,880,880,1000,1000,880,1000,1000,1000,1300,1300,1300,1300
broadcasting,3600,3600,3600,2900,2400,2400,2900,3600,4400,4400,3600,4400,5400,5400,5400,5400,5400,5400,5400,6600,8100,8100,8100,8100
brokerage services,320,480,390,320,320,320,320,320,320,210,260,320,390,320,320,260,260,260,260,260,320,260,260,320
buses,12100,12100,12100,12100,12100,12100,12100,14800,14800,12100,12100,14800,14800,14800,14800,14800,12100,12100,14800,18100,18100,18100,18100,18100
cable providers,8100,8100,8100,8100,8100,9900,9900,9900,9900,9900,9900,9900,9900,9900,12100,12100,12100,12100,14800,14800,12100,12100,9900,12100
call centers,1600,1900,1900,1900,1900,1900,1900,1900,1900,1900,1600,1900,1600,1900,1900,1600,1900,1900,1900,1900,1900,1600,1900,2400
campsites,1600,2400,2900,4400,5400,5400,4400,2400,1900,1300,1300,1900,1900,3600,3600,5400,6600,8100,6600,3600,2900,1900,1600,2900
car dealerships,74000,74000,60500,60500,60500,60500,60500,60500,60500,74000,74000,90500,110000,110000,90500,90500,90500,110000,110000,90500,90500,90500,74000,110000
car insurance,201000,201000,165000,165000,165000,165000,165000,165000,165000,165000,165000,201000,201000,246000,201000,201000,201000,201000,201000,246000,201000,201000,201000,246000
car loans,27100,33100,33100,33100,33100,33100,33100,33100,33100,33100,27100,33100,27100,33100,33100,33100,33100,33100,33100,33100,33100,27100,27100,27100
car rental,368000,450000,450000,450000,550000,550000,450000,368000,368000,368000,368000,450000,450000,550000,450000,550000,550000,550000,550000,450000,450000,450000,450000,450000
cargo,14800,14800,14800,14800,12100,14800,12100,12100,14800,12100,12100,14800,12100,14800,14800,14800,12100,14800,14800,14800,14800,14800,14800,18100
carpets,6600,8100,6600,6600,6600,6600,8100,8100,8100,8100,6600,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,9900
casinos,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,18100,18100,18100,14800,18100,14800,18100,22200,22200,18100,18100,22200,27100
casualty insurance,2400,2400,2400,2400,2400,2400,2400,2400,2900,2400,2400,2900,2900,3600,2900,2400,2900,2400,2400,2900,2900,2400,2400,2900
catering,27100,33100,33100,33100,27100,27100,27100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,40500,40500,40500,40500
cement,14800,18100,18100,18100,18100,18100,18100,18100,22200,18100,14800,18100,18100,22200,22200,22200,22200,22200,22200,22200,22200,22200,18100,22200
charter bus,8100,12100,12100,14800,8100,8100,6600,9900,9900,9900,6600,9900,9900,14800,14800,18100,9900,9900,8100,12100,12100,12100,8100,12100
