Keyword,Searches: Feb 2014,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Searches: Oct 2014,Searches: Nov 2014,Searches: Dec 2014,Searches: Jan 2015,Searches: Feb 2015,Searches: Mar 2015,Searches: Apr 2015,Searches: May 2015,Searches: Jun 2015,Searches: Jul 2015,Searches: Aug 2015,Searches: Sep 2015,Searches: Oct 2015,Searches: Nov 2015,Searches: Dec 2015,Searches: Jan 2016
FITBIT,1000000,1000000,1000000,1000000,1220000,1220000,1000000,1000000,1000000,1830000,2740000,2740000,1830000,1830000,1830000,2240000,2240000,1830000,1830000,1830000,1830000,2740000,3350000,3350000
BARNES and NOBLE,3350000,3350000,3350000,3350000,3350000,3350000,4090000,3350000,3350000,4090000,6120000,4090000,3350000,3350000,2740000,3350000,3350000,4090000,4090000,3350000,3350000,4090000,6120000,4090000
GODADDY,1000000,1220000,1000000,1000000,1000000,1000000,1000000,1000000,1220000,1000000,1000000,1220000,1220000,1220000,1220000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1220000
WAYFAIR,1000000,1220000,823000,1000000,1220000,1500000,1500000,1500000,1500000,1500000,1220000,1830000,1500000,1830000,1500000,1500000,1830000,2240000,2240000,2240000,2240000,2740000,2240000,3350000
SHUTTERSTOCK,201000,246000,246000,246000,201000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,301000,246000,246000,246000
LANDS END,1000000,1000000,823000,1000000,823000,1000000,1000000,1000000,1000000,1830000,1500000,1000000,823000,823000,823000,823000,823000,1000000,1000000,823000,1000000,1500000,1220000,1000000
CROCS,201000,246000,301000,368000,368000,368000,301000,246000,201000,246000,246000,201000,165000,301000,301000,450000,450000,450000,368000,301000,246000,301000,301000,246000
ZUMIEZ,550000,673000,673000,673000,673000,823000,1000000,673000,673000,1000000,1220000,673000,673000,673000,673000,673000,673000,823000,1000000,673000,673000,1000000,1220000,673000
RENT A CENTER,550000,673000,550000,673000,673000,673000,673000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,1000000,823000,823000
SQUARE,301000,368000,368000,301000,301000,301000,301000,368000,368000,368000,301000,368000,368000,368000,368000,368000,368000,368000,368000,450000,450000,550000,450000,550000
VIRGIN AMERICA,823000,823000,823000,823000,673000,823000,673000,673000,673000,673000,673000,673000,673000,823000,673000,673000,673000,823000,673000,673000,673000,673000,550000,823000
GOGO,135000,165000,165000,165000,165000,135000,135000,165000,165000,165000,165000,165000,165000,201000,201000,165000,165000,201000,201000,201000,246000,246000,301000,201000
VITAMIN SHOPPE,550000,673000,673000,550000,550000,550000,550000,550000,550000,550000,550000,673000,673000,673000,550000,550000,550000,673000,550000,550000,550000,550000,550000,823000
CITY,60500,60500,74000,74000,60500,60500,60500,74000,74000,74000,74000,74000,74000,74000,74000,74000,60500,74000,90500,110000,110000,110000,110000,135000
U S CELLULAR,550000,450000,450000,450000,550000,550000,550000,673000,550000,550000,550000,550000,450000,550000,550000,550000,550000,550000,673000,550000,550000,550000,550000,550000
DTS,368000,368000,368000,450000,368000,450000,450000,368000,368000,301000,301000,368000,368000,450000,450000,368000,368000,450000,450000,368000,368000,301000,301000,368000
BUCKLE,368000,368000,301000,301000,301000,301000,368000,368000,368000,450000,550000,368000,368000,368000,301000,301000,301000,301000,368000,301000,368000,450000,450000,301000
BANNER,49500,49500,60500,60500,49500,49500,60500,60500,60500,60500,49500,60500,49500,60500,60500,60500,60500,60500,74000,74000,60500,60500,60500,74000
TRANSUNION,201000,246000,246000,201000,201000,201000,201000,201000,201000,201000,201000,246000,301000,301000,301000,246000,301000,246000,246000,246000,201000,201000,201000,246000
KELLY SERVICES,165000,201000,201000,246000,246000,246000,246000,246000,246000,201000,201000,246000,201000,246000,246000,246000,246000,246000,246000,246000,246000,201000,201000,301000
TEAM,74000,74000,60500,60500,49500,49500,49500,49500,49500,49500,40500,49500,49500,49500,49500,49500,49500,49500,49500,60500,60500,49500,60500,60500
FRONTLINE,110000,110000,110000,165000,90500,110000,110000,110000,135000,90500,74000,110000,90500,90500,110000,135000,90500,110000,90500,90500,110000,110000,90500,110000
NAUTILUS,49500,49500,49500,49500,40500,49500,49500,49500,49500,49500,49500,60500,60500,74000,74000,60500,60500,60500,74000,49500,60500,49500,60500,60500
VWR,74000,90500,90500,74000,90500,90500,74000,90500,90500,74000,60500,74000,90500,90500,90500,74000,90500,90500,90500,90500,90500,74000,74000,90500
IROBOT,49500,49500,74000,90500,90500,49500,40500,49500,74000,90500,90500,60500,49500,49500,74000,74000,49500,60500,49500,60500,49500,246000,201000,74000
NUTRISYSTEM,246000,301000,246000,246000,201000,201000,201000,201000,165000,110000,165000,450000,301000,301000,301000,246000,201000,201000,201000,165000,165000,110000,165000,450000
CTS,27100,33100,33100,27100,27100,27100,27100,27100,33100,27100,27100,33100,27100,33100,33100,27100,27100,27100,27100,33100,33100,27100,27100,33100
CARMIKE CINEMAS,201000,246000,165000,201000,246000,301000,301000,201000,246000,246000,368000,450000,301000,165000,135000,165000,301000,301000,165000,110000,165000,301000,450000,246000
WIX COM,90500,90500,74000,74000,60500,74000,60500,60500,60500,60500,49500,74000,60500,60500,60500,60500,49500,49500,49500,49500,60500,60500,49500,60500
CONNS,201000,165000,165000,165000,165000,201000,201000,201000,201000,246000,246000,201000,201000,201000,201000,201000,201000,246000,246000,201000,201000,246000,246000,246000
REVLON,49500,60500,49500,49500,49500,49500,49500,40500,40500,49500,49500,60500,49500,49500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500
ZOES KITCHEN,110000,135000,135000,135000,135000,165000,165000,135000,135000,135000,135000,165000,135000,165000,165000,201000,201000,165000,201000,201000,201000,165000,165000,201000
FTD,246000,110000,135000,246000,90500,90500,90500,110000,110000,110000,165000,110000,201000,110000,135000,201000,90500,90500,90500,90500,110000,110000,165000,110000
UNIT,18100,18100,33100,14800,14800,14800,18100,22200,22200,22200,18100,22200,22200,22200,22200,18100,18100,18100,22200,27100,27100,22200,22200,27100
HUBSPOT,49500,49500,49500,49500,49500,49500,49500,60500,90500,60500,49500,60500,60500,74000,74000,60500,74000,74000,74000,74000,74000,74000,74000,90500
SJW,14800,22200,27100,33100,22200,40500,74000,135000,74000,60500,74000,60500,60500,74000,90500,74000,90500,90500,74000,74000,74000,135000,90500,90500
POTBELLY,110000,110000,110000,110000,110000,135000,110000,110000,135000,110000,110000,135000,135000,135000,135000,135000,135000,165000,165000,135000,165000,135000,135000,165000
TIVO,110000,110000,90500,90500,90500,90500,110000,110000,110000,110000,110000,110000,90500,90500,90500,90500,90500,90500,90500,110000,135000,135000,135000,135000
PIER 1 IMPORTS,74000,90500,90500,90500,90500,110000,110000,110000,90500,135000,165000,110000,90500,110000,90500,110000,110000,110000,135000,135000,110000,165000,165000,135000
RPC,9900,9900,9900,9900,9900,9900,8100,9900,9900,9900,8100,9900,9900,12100,12100,12100,9900,12100,9900,12100,12100,9900,9900,12100
BANKRATE,135000,135000,135000,135000,135000,135000,135000,135000,135000,110000,110000,165000,135000,165000,135000,135000,135000,135000,135000,110000,110000,110000,110000,135000
SAIA,49500,49500,49500,49500,49500,60500,49500,49500,49500,40500,49500,49500,49500,49500,49500,49500,60500,60500,49500,49500,49500,40500,40500,49500
2U,8100,12100,8100,6600,6600,6600,5400,6600,6600,5400,5400,6600,6600,8100,8100,6600,8100,8100,8100,8100,8100,6600,5400,8100
NEWPORT,27100,33100,33100,40500,40500,49500,40500,33100,33100,27100,27100,33100,33100,33100,40500,40500,40500,49500,49500,40500,40500,33100,33100,33100
FERRO,3600,4400,4400,4400,3600,3600,4400,4400,4400,3600,3600,4400,4400,5400,4400,4400,4400,4400,4400,4400,4400,4400,4400,5400
MEDIFAST,110000,110000,135000,165000,90500,110000,90500,110000,110000,60500,60500,135000,90500,110000,90500,90500,74000,74000,74000,60500,60500,49500,49500,90500
CINCINNATI BELL,74000,90500,90500,74000,74000,90500,90500,90500,90500,74000,90500,90500,74000,74000,74000,74000,74000,74000,90500,90500,74000,74000,90500,90500
VIACOM,33100,60500,40500,27100,27100,27100,27100,33100,49500,33100,27100,33100,40500,49500,40500,33100,33100,40500,49500,40500,49500,33100,33100,49500
SPX,22200,22200,22200,18100,18100,22200,27100,27100,40500,22200,22200,27100,22200,27100,22200,22200,22200,27100,49500,40500,33100,27100,27100,60500
UNISYS,14800,14800,14800,12100,12100,12100,12100,12100,14800,14800,12100,14800,14800,12100,14800,12100,12100,12100,12100,12100,12100,12100,9900,12100
INVACARE,18100,22200,22200,22200,18100,22200,18100,18100,18100,14800,14800,18100,18100,18100,18100,18100,18100,18100,18100,18100,18100,14800,14800,14800
