Keyword,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Searches: Oct 2014,Searches: Nov 2014,Searches: Dec 2014,Searches: Jan 2015,Searches: Feb 2015,Searches: Mar 2015,Searches: Apr 2015,Searches: May 2015,Searches: Jun 2015,Searches: Jul 2015,Searches: Aug 2015,Searches: Sep 2015,Searches: Oct 2015,Searches: Nov 2015,Searches: Dec 2015,Searches: Jan 2016,Searches: Feb 2016
$XYL,880,880,880,590,720,590,590,720,590,590,720,720,720,880,720,720,720,720,880,880,720,720,880,880
$IVZ,1000,720,590,720,590,590,480,480,390,390,480,480,720,390,390,480,590,480,390,590,320,480,590,590
$BXP,1000,1300,1000,880,880,720,880,880,880,880,1300,1000,1000,1300,880,880,880,880,880,880,880,880,880,1000
$NLSN,1000,1300,1000,1000,1300,1300,720,1300,880,1000,720,880,720,880,720,720,880,1000,880,1000,720,880,720,880
$ZBH,70,50,70,50,70,70,70,50,70,70,50,70,70,70,70,480,1300,1600,1300,1300,1000,880,1600,1600
$TGNA,90,70,70,70,70,70,70,90,70,50,50,140,90,140,90,1300,1600,880,720,880,480,590,480,720
$DISCK,720,720,880,720,720,1600,880,880,1000,1000,1000,1600,1300,1300,1000,1000,1000,1300,880,880,1300,1000,880,880
$DLPH,720,720,480,720,720,590,720,1300,880,720,720,1300,880,880,720,880,1300,1000,720,1000,720,720,1300,1600
$AIV,1900,1900,1900,1600,1900,1600,1600,1900,1600,1600,1900,1900,1900,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
$VNO,1900,1900,1900,1300,1300,1300,1300,1600,1300,1300,1900,1600,1900,1900,1900,1600,1600,1900,1600,1900,1900,1300,1600,1900
$MJN,1300,1600,1600,1600,1300,1000,1300,1900,1000,1000,1300,1000,1300,1300,1300,1600,1900,1600,1300,1900,1600,1300,1600,1600
$AVY,1600,1600,1300,1300,1300,1300,1000,1600,1300,1600,1600,1600,1300,1600,1900,1600,1900,1900,1600,1900,1900,1900,1900,1900
$HSIC,1000,1300,1000,880,880,880,720,880,1900,1600,1600,1900,1900,1600,1600,1600,1900,1600,1300,1600,1600,1300,1300,1900
$JBHT,880,1000,590,590,1000,590,590,880,720,720,880,720,880,1600,880,1300,1300,1300,1300,1900,1000,1600,1900,1300
$XEC,1300,1300,1900,1600,1600,1600,1300,1600,1600,2400,1900,2400,1900,1900,1600,1300,1600,1900,1300,1600,1300,1900,1900,1900
$CINF,1900,1900,1000,720,880,720,590,880,720,1000,1000,1000,1000,1000,880,880,1300,1600,1300,1900,1600,1600,1600,2400
$MHK,2400,2400,2400,1900,1900,1900,1900,1900,1900,1900,2900,2900,2400,2400,2400,1900,2400,2900,2400,2400,2400,1900,2400,2900
$AIZ,1300,1300,1300,1000,1300,1000,1000,1300,1300,1300,1300,1900,1300,1900,2400,2400,2900,2900,1900,1900,1600,1600,1900,2400
$WRK,1000,1000,1000,1000,1300,1300,1300,1300,1300,1000,1300,1300,1600,1600,1300,1600,2900,1900,1900,1900,1900,1900,2900,2900
$EQR,1600,2400,1900,1600,1900,1600,1600,1900,1600,1600,1900,1900,2400,1900,1900,2400,1900,1900,1900,2900,1900,1600,1900,2400
$NDAQ,2400,2400,1300,1300,1900,1000,880,1300,880,1300,1300,1600,1600,1300,1900,1600,2400,2400,1600,2400,1900,1600,2900,2400
$MHFI,2400,1900,1600,1600,1600,1300,1600,1600,1600,1600,2400,2900,1600,1600,1300,1600,1900,1300,1600,1300,1300,1000,1600,1900
$PBCT,2900,2400,2400,2400,2400,2400,2400,2900,1600,1900,1900,1600,1600,1600,1600,1900,1600,1600,1300,1600,1300,1300,1600,1900
$WLTW,880,720,590,720,720,720,720,880,1300,880,720,880,720,480,480,480,590,480,390,480,880,720,2900,1300
$SLG,2400,2900,2900,2400,2900,2400,2400,2400,2400,2400,2900,2400,2900,3600,3600,2900,3600,3600,2900,2900,2400,2900,3600,3600
$TMK,2900,2900,2900,2900,2900,2900,2900,3600,2900,2400,2900,2400,2900,2900,2400,2900,2900,2900,2400,2400,2400,2400,2900,2400
$EXR,1600,1900,1900,1600,1900,1900,1900,2400,1900,1900,2400,2400,2900,2400,2400,2400,2400,2900,2900,3600,2900,2900,3600,3600
$NTRS,2400,2400,1900,1900,2400,2400,2400,2900,1900,1900,2900,2900,2900,2900,2400,2400,2900,2900,2400,2900,2400,2400,2900,3600
$SRCL,1300,1600,1600,1900,1900,1300,1600,2400,1600,1600,1900,1900,1900,1900,1300,1300,2400,1900,1900,3600,1900,1900,1900,2900
$PDCO,1300,1000,1300,1300,1300,1600,1300,1600,1900,1900,1900,2400,1900,1900,2900,2900,2900,3600,2400,1900,1900,1600,1900,2400
$CPGX,10,10,10,10,10,10,10,10,10,10,10,50,40,40,90,480,3600,1600,1600,1900,1600,1600,1600,1600
$JEC,4400,4400,4400,2900,2900,2900,2900,3600,3600,3600,3600,3600,3600,3600,2900,2900,2900,3600,2900,2900,3600,2900,2900,2900
$FRT,3600,3600,3600,2900,3600,3600,3600,3600,3600,3600,3600,3600,4400,4400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
$LNC,3600,4400,3600,3600,3600,3600,3600,4400,3600,3600,3600,4400,3600,3600,3600,3600,3600,4400,3600,3600,2900,2900,3600,4400
$SWK,2900,4400,2900,2900,2900,2900,2900,3600,2900,2900,3600,2900,3600,3600,3600,3600,3600,3600,2900,3600,2900,3600,4400,3600
$RHI,3600,3600,3600,3600,3600,3600,3600,3600,2900,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,4400
$EFX,4400,3600,3600,2900,3600,2900,2900,3600,2400,2900,3600,3600,3600,4400,3600,3600,3600,3600,3600,4400,3600,4400,4400,4400
$XEL,3600,3600,2900,2900,2900,2400,2400,2900,2400,3600,3600,3600,3600,2900,2900,2900,2900,4400,3600,3600,3600,3600,4400,4400
$NWL,2900,2400,2900,3600,2900,2900,2400,2900,2400,2400,2400,2900,2900,2900,2900,3600,4400,3600,2900,2900,2900,4400,3600,2900
$WYN,3600,3600,3600,2900,3600,2900,2900,3600,2400,2900,2900,3600,3600,3600,3600,3600,3600,4400,3600,3600,3600,2900,3600,4400
$DISCA,2400,1600,2400,1900,2900,4400,1900,1900,2400,1900,2400,3600,2400,2400,2400,1900,1900,2900,1600,1300,1900,1000,1300,1600
$VRSN,3600,2900,2400,1300,2400,2900,1600,2400,1600,1300,1300,3600,2400,2400,1300,1000,1900,2400,1300,2400,2900,2400,2400,4400
$FOXA,1600,1600,1900,1300,2900,3600,1600,1900,1900,1300,1600,3600,2400,2400,2400,1900,1300,4400,1900,2400,2400,1600,1900,2900
$NWSA,4400,3600,3600,2400,2400,2400,2900,4400,4400,2400,2900,4400,3600,2900,2900,2400,2400,2900,2900,3600,4400,2900,3600,4400
$LLTC,1600,2900,2400,1600,2900,2400,1600,3600,2400,1600,2900,2400,1900,2900,2400,1600,3600,2900,2400,4400,2400,1600,3600,2400
$FISV,2400,2900,2400,1900,2400,1600,1900,2900,2400,2400,2900,3600,2900,2900,2900,2900,3600,3600,2400,4400,2900,2400,3600,3600
$RSG,3600,3600,3600,4400,4400,4400,5400,4400,3600,3600,4400,4400,4400,4400,3600,4400,4400,4400,4400,4400,3600,3600,4400,4400
$ALLE,5400,4400,5400,4400,4400,3600,4400,4400,4400,4400,5400,5400,5400,5400,4400,4400,4400,4400,4400,5400,4400,5400,5400,5400
$TYC,4400,4400,4400,4400,4400,3600,3600,3600,3600,3600,3600,2900,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5400,3600
$APH,3600,3600,3600,2900,2900,3600,4400,4400,3600,3600,4400,3600,4400,4400,4400,4400,4400,4400,5400,5400,4400,4400,5400,5400
$SYK,2900,3600,3600,3600,2900,2400,2400,3600,3600,4400,3600,3600,4400,4400,2900,2900,4400,5400,3600,3600,2900,2900,5400,4400
$TSCO,3600,3600,2900,2900,4400,2900,2900,5400,3600,3600,4400,4400,3600,4400,2900,2400,3600,3600,2400,3600,2900,2900,4400,2900
$SJM,3600,3600,3600,3600,3600,3600,2900,3600,4400,3600,3600,5400,4400,3600,2900,3600,3600,4400,4400,3600,4400,3600,3600,4400
$GWW,4400,5400,4400,5400,5400,4400,4400,4400,3600,3600,4400,4400,4400,5400,3600,2900,3600,4400,4400,5400,3600,3600,4400,4400
$CLX,3600,3600,3600,4400,3600,3600,4400,5400,3600,3600,3600,4400,3600,3600,2900,2400,2900,5400,2900,3600,3600,3600,3600,5400
$CTAS,5400,3600,4400,3600,3600,3600,5400,4400,3600,4400,4400,4400,5400,4400,4400,4400,5400,5400,4400,5400,4400,4400,4400,4400
$EIX,3600,4400,2900,2900,2900,3600,3600,5400,3600,4400,4400,5400,4400,4400,3600,3600,3600,4400,3600,4400,2900,2900,3600,4400
$DGX,4400,5400,3600,4400,3600,2900,2900,3600,2900,3600,4400,3600,4400,3600,5400,3600,4400,3600,3600,4400,3600,3600,3600,3600
$LYB,1900,1900,1900,1900,1900,1900,1900,5400,3600,4400,3600,3600,2900,3600,3600,2900,3600,3600,2400,2900,1900,2400,2900,2900
$EQIX,2400,2900,2400,2400,2400,2400,1900,2900,2400,1600,1900,2900,2900,2900,3600,1900,2900,3600,2900,2900,2400,1900,3600,5400
$PCAR,5400,5400,3600,2900,4400,2900,2900,3600,3600,4400,4400,3600,3600,3600,2900,2900,3600,3600,3600,3600,2900,3600,4400,3600
$DLTR,2900,3600,3600,2900,4400,4400,3600,3600,4400,4400,4400,4400,4400,3600,3600,3600,3600,4400,5400,4400,4400,4400,4400,5400
$PAYX,4400,3600,2400,2400,4400,2900,2900,3600,3600,3600,2900,3600,5400,2900,2900,2400,3600,3600,3600,3600,2900,3600,3600,2900
$VRSK,2900,3600,3600,2900,3600,2900,2400,2900,2400,2400,1900,3600,2900,2900,2400,1900,2900,2900,1900,5400,2900,2400,2400,2900
$PNR,6600,6600,6600,6600,5400,6600,5400,6600,5400,6600,6600,5400,5400,6600,6600,5400,5400,5400,5400,6600,5400,6600,5400,5400
$STJ,5400,5400,4400,4400,5400,5400,5400,6600,4400,4400,4400,4400,4400,5400,4400,4400,5400,6600,5400,5400,4400,4400,5400,4400
$IRM,5400,5400,5400,6600,5400,5400,5400,6600,5400,4400,5400,5400,5400,5400,5400,6600,5400,6600,5400,5400,5400,5400,5400,5400
$FTI,5400,6600,5400,5400,5400,4400,5400,6600,4400,4400,5400,6600,6600,5400,5400,5400,6600,6600,6600,6600,5400,5400,6600,5400
$PGR,6600,5400,6600,5400,5400,4400,5400,6600,5400,5400,5400,5400,5400,5400,5400,5400,6600,6600,5400,6600,5400,5400,6600,6600
$SNI,6600,6600,5400,5400,5400,5400,5400,6600,5400,5400,6600,6600,6600,6600,6600,5400,5400,6600,5400,6600,6600,5400,6600,6600
$DHI,6600,6600,6600,5400,6600,5400,4400,5400,5400,4400,5400,5400,5400,6600,4400,4400,5400,5400,5400,5400,5400,4400,5400,4400
$LUK,6600,6600,6600,5400,6600,5400,6600,6600,6600,5400,6600,6600,6600,6600,6600,5400,5400,6600,5400,5400,5400,6600,6600,6600
$TRV,4400,5400,4400,4400,4400,3600,4400,5400,4400,4400,5400,5400,4400,5400,4400,4400,5400,6600,4400,5400,4400,3600,5400,4400
$FLS,5400,5400,5400,4400,5400,5400,5400,5400,4400,4400,5400,5400,5400,5400,5400,4400,5400,5400,5400,5400,5400,4400,6600,5400
$AVB,6600,6600,5400,4400,4400,5400,5400,4400,4400,4400,5400,4400,4400,5400,4400,4400,4400,4400,4400,4400,4400,4400,5400,5400
$HSY,6600,6600,5400,3600,5400,5400,5400,6600,5400,5400,6600,6600,5400,6600,5400,6600,5400,6600,5400,6600,5400,4400,5400,6600
$ROST,4400,3600,3600,2900,3600,4400,3600,3600,5400,4400,4400,5400,5400,5400,5400,5400,4400,6600,4400,4400,6600,4400,5400,5400
$DOV,4400,4400,3600,4400,3600,3600,3600,5400,4400,6600,5400,4400,5400,5400,4400,4400,5400,5400,5400,5400,4400,4400,5400,4400
$GGP,4400,5400,4400,4400,4400,4400,4400,5400,4400,4400,5400,5400,6600,5400,5400,5400,4400,5400,4400,4400,4400,4400,5400,5400
$CXO,3600,4400,4400,4400,4400,4400,4400,4400,4400,5400,6600,6600,5400,5400,5400,5400,4400,4400,4400,4400,4400,4400,5400,5400
$TROW,5400,5400,4400,4400,5400,5400,5400,5400,5400,5400,5400,5400,6600,5400,5400,5400,5400,5400,5400,5400,4400,5400,6600,6600
$SCHW,6600,6600,5400,5400,5400,5400,5400,6600,5400,5400,5400,5400,6600,5400,5400,6600,6600,6600,6600,6600,6600,5400,6600,6600
$ZTS,2400,2400,1900,1900,1600,1900,2400,1900,6600,2900,2400,3600,3600,3600,3600,6600,4400,4400,2900,2900,2900,2400,2400,2400
$EXPD,2900,2900,6600,3600,2900,2900,2400,2900,3600,2900,2400,3600,4400,2900,3600,2900,2900,5400,4400,4400,3600,2900,3600,3600
$NFX,3600,5400,3600,6600,5400,2900,2900,4400,2900,5400,5400,5400,4400,4400,3600,3600,3600,4400,2900,2900,2900,2400,2900,3600
$KLAC,4400,5400,3600,3600,5400,3600,4400,6600,4400,3600,3600,2900,3600,4400,2400,2400,3600,3600,3600,6600,2900,2400,3600,2900
$MCHP,2900,2400,2400,2400,2900,2900,2900,6600,2900,3600,2900,4400,3600,2900,2900,2400,3600,4400,4400,3600,3600,2900,4400,4400
$VIAB,1300,1300,1600,1600,1300,1000,1300,1900,2400,1900,2900,3600,3600,3600,2400,1600,2400,6600,3600,2400,2400,2400,2900,6600
$KMB,6600,8100,5400,5400,6600,5400,5400,8100,6600,5400,8100,6600,6600,6600,5400,4400,5400,6600,5400,6600,5400,6600,8100,8100
$VMC,8100,6600,6600,5400,6600,6600,5400,6600,5400,6600,6600,8100,8100,6600,8100,6600,8100,8100,6600,6600,6600,6600,6600,6600
$ECL,8100,8100,6600,6600,6600,6600,6600,8100,5400,8100,8100,8100,8100,8100,6600,6600,6600,8100,8100,8100,6600,6600,8100,8100
$PWR,6600,6600,6600,5400,5400,5400,5400,6600,5400,6600,6600,6600,6600,6600,6600,5400,6600,6600,6600,8100,6600,6600,6600,6600
$STZ,4400,5400,3600,4400,5400,3600,3600,5400,3600,2900,5400,4400,4400,5400,2900,3600,4400,4400,3600,5400,4400,4400,8100,6600
$PLD,5400,5400,5400,4400,4400,5400,5400,6600,6600,6600,6600,6600,6600,6600,6600,4400,4400,6600,8100,6600,6600,6600,6600,8100
$XLNX,3600,4400,2900,2900,8100,4400,3600,6600,2900,2900,4400,2900,5400,5400,5400,4400,4400,4400,2900,5400,2900,2400,5400,3600
$FLR,5400,5400,6600,5400,5400,6600,5400,6600,6600,6600,8100,8100,6600,6600,8100,6600,8100,8100,6600,6600,6600,6600,8100,8100
$UDR,8100,8100,8100,8100,8100,8100,6600,6600,6600,6600,8100,6600,8100,8100,8100,8100,8100,8100,8100,8100,6600,6600,8100,8100
$HRB,5400,4400,2900,3600,2900,2400,2900,3600,2400,2900,5400,6600,6600,4400,2900,3600,2900,3600,4400,3600,2900,3600,5400,8100
$EMN,4400,4400,3600,3600,5400,6600,5400,8100,6600,8100,8100,8100,8100,8100,6600,5400,8100,6600,6600,8100,6600,5400,8100,8100
