Keyword,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Searches: Oct 2014,Searches: Nov 2014,Searches: Dec 2014,Searches: Jan 2015,Searches: Feb 2015,Searches: Mar 2015,Searches: Apr 2015,Searches: May 2015,Searches: Jun 2015,Searches: Jul 2015,Searches: Aug 2015,Searches: Sep 2015,Searches: Oct 2015,Searches: Nov 2015,Searches: Dec 2015,Searches: Jan 2016,Searches: Feb 2016
ON Semiconductor,8100,8100,6600,8100,8100,6600,8100,8100,6600,6600,8100,8100,9900,9900,8100,8100,8100,8100,8100,9900,12100,6600,8100,9900
Legg Mason,9900,9900,9900,9900,12100,9900,12100,9900,8100,8100,9900,9900,9900,9900,8100,8100,9900,9900,8100,8100,8100,8100,12100,9900
Olin,6600,6600,6600,5400,5400,5400,6600,6600,6600,6600,8100,6600,12100,8100,6600,5400,6600,6600,9900,9900,6600,6600,8100,8100
Spectrum Brands,8100,8100,8100,8100,8100,8100,8100,8100,6600,6600,8100,8100,9900,12100,9900,9900,8100,9900,9900,9900,8100,8100,9900,12100
Rollins,8100,8100,8100,6600,6600,8100,8100,8100,8100,12100,9900,9900,9900,9900,6600,6600,6600,9900,8100,8100,8100,6600,8100,8100
Raybestos,8100,8100,8100,8100,8100,12100,8100,8100,5400,5400,5400,5400,6600,8100,6600,6600,6600,6600,5400,5400,4400,4400,4400,5400
Piper Jaffray,8100,8100,8100,8100,9900,8100,9900,9900,8100,8100,9900,8100,9900,9900,8100,9900,9900,9900,12100,12100,12100,9900,9900,9900
Occidental Petroleum,9900,9900,9900,9900,9900,9900,12100,12100,9900,12100,12100,9900,9900,8100,8100,8100,9900,9900,8100,9900,8100,8100,9900,9900
Martha Stewart Living,12100,9900,9900,9900,9900,9900,9900,12100,12100,9900,9900,8100,8100,9900,12100,12100,8100,8100,8100,8100,8100,8100,9900,8100
Hormel Foods,8100,6600,6600,6600,8100,6600,8100,8100,8100,6600,8100,9900,8100,8100,9900,8100,8100,9900,9900,9900,12100,9900,9900,12100
Momentive,8100,12100,6600,6600,6600,8100,8100,8100,5400,4400,5400,4400,5400,4400,4400,4400,3600,3600,3600,3600,3600,2900,3600,4400
Symetra,9900,8100,8100,8100,8100,8100,8100,8100,6600,6600,8100,8100,8100,8100,8100,8100,8100,12100,8100,8100,6600,6600,8100,8100
PMC Sierra,2400,2400,1900,2400,2400,1900,2900,2900,1900,1600,2400,2400,2400,2400,2400,2400,2400,2400,2900,12100,5400,2900,3600,1900
Newfield Exploration,6600,6600,5400,5400,6600,5400,6600,6600,5400,5400,8100,6600,6600,12100,9900,8100,8100,8100,6600,6600,5400,4400,5400,6600
Reynolds American,4400,3600,5400,5400,12100,5400,5400,6600,4400,4400,5400,5400,6600,9900,6600,6600,5400,5400,6600,4400,4400,2900,4400,6600
Janus Capital,1600,1300,1300,1300,1600,1300,12100,5400,2900,2900,3600,2400,2400,2900,2400,2900,3600,2400,2900,2900,2400,2400,2900,2900
Mettler Toledo,14800,14800,14800,14800,14800,14800,14800,14800,12100,12100,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,12100,14800,14800
Numark,14800,14800,14800,12100,14800,14800,12100,14800,14800,14800,14800,12100,14800,12100,12100,12100,12100,12100,12100,12100,14800,14800,14800,12100
Moodys,9900,9900,9900,9900,12100,9900,9900,12100,9900,9900,9900,12100,12100,12100,12100,12100,12100,12100,12100,12100,9900,9900,12100,14800
Sealed Air,6600,6600,6600,6600,14800,9900,8100,8100,6600,8100,9900,9900,9900,9900,9900,9900,12100,9900,9900,9900,8100,8100,9900,9900
Sequoia Capital,14800,14800,14800,12100,12100,9900,12100,12100,9900,9900,12100,12100,14800,12100,12100,12100,12100,12100,12100,12100,12100,9900,9900,9900
PACCAR,12100,12100,9900,9900,12100,9900,12100,12100,9900,9900,12100,12100,14800,12100,12100,12100,12100,12100,12100,12100,9900,9900,14800,14800
Respironics,14800,14800,14800,12100,14800,12100,14800,14800,12100,12100,14800,12100,14800,14800,12100,12100,14800,12100,12100,12100,12100,12100,14800,14800
Hologic,12100,12100,12100,12100,12100,12100,12100,12100,9900,9900,12100,12100,12100,12100,12100,14800,12100,12100,12100,14800,12100,9900,12100,12100
Maxim Integrated,9900,8100,8100,8100,8100,8100,9900,9900,8100,6600,8100,8100,8100,8100,8100,9900,9900,8100,9900,14800,9900,8100,9900,9900
Nucor,14800,12100,9900,9900,12100,12100,14800,14800,12100,9900,12100,12100,12100,12100,12100,12100,12100,12100,14800,14800,12100,9900,12100,12100
Pacific Life,14800,14800,12100,14800,14800,12100,14800,14800,14800,14800,14800,14800,14800,14800,12100,12100,12100,12100,12100,14800,12100,12100,14800,14800
Magnavox,12100,9900,9900,9900,12100,12100,12100,12100,14800,14800,12100,9900,9900,8100,8100,8100,8100,9900,9900,9900,12100,12100,12100,9900
Simon Property Group,8100,9900,9900,8100,9900,8100,9900,9900,8100,8100,9900,9900,14800,12100,9900,9900,9900,12100,12100,12100,12100,12100,12100,9900
KLA Tencor,8100,6600,6600,6600,6600,6600,8100,9900,6600,5400,8100,8100,6600,6600,5400,5400,5400,5400,5400,14800,5400,4400,6600,6600
Patterson Companies,1900,1900,1900,2400,1900,2400,2400,2900,2900,1900,8100,9900,12100,14800,12100,12100,12100,12100,12100,12100,12100,12100,12100,9900
Super One Foods,8100,8100,9900,8100,9900,9900,9900,9900,12100,12100,12100,12100,12100,9900,12100,12100,12100,12100,12100,9900,12100,14800,9900,6600
Shea Homes,12100,12100,12100,12100,12100,9900,9900,9900,9900,8100,12100,12100,14800,12100,12100,12100,12100,12100,9900,9900,9900,8100,12100,12100
Odwalla,14800,12100,9900,9900,9900,9900,12100,12100,9900,8100,12100,12100,12100,9900,9900,9900,8100,8100,9900,9900,8100,8100,9900,12100
Hollister Clothing,8100,8100,8100,6600,9900,9900,6600,6600,14800,14800,8100,6600,6600,6600,6600,6600,8100,8100,6600,6600,12100,12100,6600,6600
