Keyword,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Searches: Oct 2014,Searches: Nov 2014,Searches: Dec 2014,Searches: Jan 2015,Searches: Feb 2015,Searches: Mar 2015,Searches: Apr 2015,Searches: May 2015,Searches: Jun 2015,Searches: Jul 2015,Searches: Aug 2015,Searches: Sep 2015,Searches: Oct 2015,Searches: Nov 2015,Searches: Dec 2015,Searches: Jan 2016,Searches: Feb 2016
games,2740000,2240000,2740000,2240000,1830000,1830000,2240000,2240000,2740000,2740000,2740000,2240000,2740000,2240000,2740000,2240000,1830000,2740000,3350000,3350000,4090000,6120000,5000000,5000000
lottery,823000,673000,673000,673000,673000,673000,673000,673000,673000,673000,823000,823000,673000,673000,673000,673000,673000,673000,673000,673000,673000,673000,3350000,673000
movies,2740000,2240000,2740000,2740000,3350000,3350000,2240000,2740000,3350000,3350000,3350000,2740000,2740000,2740000,3350000,3350000,3350000,3350000,3350000,3350000,3350000,4090000,4090000,3350000
wallpaper,550000,450000,450000,368000,450000,450000,450000,450000,450000,550000,550000,550000,550000,450000,450000,450000,450000,550000,550000,550000,673000,823000,823000,673000
restaurants,1500000,1220000,1500000,1220000,1000000,1000000,1000000,1000000,823000,823000,823000,823000,1220000,2240000,3350000,4090000,4090000,2240000,3350000,4090000,2740000,2740000,2240000,3350000
radio,201000,201000,201000,165000,165000,165000,201000,201000,201000,201000,201000,165000,201000,201000,201000,165000,165000,246000,368000,368000,368000,450000,450000,368000
real estate,450000,450000,368000,368000,368000,368000,368000,368000,301000,301000,450000,368000,450000,450000,368000,368000,450000,450000,368000,368000,368000,368000,450000,450000
wind,49500,49500,49500,33100,27100,27100,40500,40500,49500,40500,49500,49500,49500,49500,49500,33100,33100,40500,49500,49500,49500,49500,49500,60500
hotels,823000,823000,823000,1000000,1000000,823000,673000,673000,550000,673000,673000,823000,823000,823000,823000,823000,1000000,823000,823000,673000,550000,823000,823000,1000000
taxi,246000,201000,246000,201000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,301000,301000,301000,301000,301000,301000,301000
shoes,673000,550000,550000,450000,450000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,450000,550000,673000,550000,673000,673000,823000,673000,673000
gold,246000,201000,201000,165000,165000,165000,201000,246000,246000,246000,246000,301000,246000,246000,201000,201000,246000,246000,246000,246000,246000,246000,301000,301000
online shopping,49500,40500,40500,40500,40500,40500,49500,49500,60500,60500,40500,49500,49500,40500,40500,40500,49500,49500,49500,49500,74000,60500,49500,60500
car insurance,201000,165000,165000,165000,165000,165000,165000,165000,165000,165000,201000,201000,246000,201000,201000,201000,201000,201000,246000,201000,201000,201000,246000,301000
sugar,60500,60500,74000,49500,49500,49500,74000,74000,74000,74000,135000,201000,301000,246000,246000,165000,165000,135000,135000,135000,135000,135000,165000,165000
chocolate,135000,135000,135000,110000,110000,110000,110000,135000,135000,165000,165000,201000,135000,165000,246000,165000,201000,165000,135000,201000,246000,301000,246000,301000
books,246000,246000,246000,201000,165000,246000,301000,246000,246000,246000,301000,246000,246000,246000,246000,201000,165000,246000,301000,246000,246000,246000,301000,246000
travel insurance,60500,49500,60500,60500,60500,49500,49500,49500,40500,40500,60500,49500,60500,60500,60500,60500,60500,60500,49500,49500,49500,49500,60500,60500
car rental,450000,450000,450000,550000,550000,450000,368000,368000,368000,368000,450000,450000,550000,450000,550000,550000,550000,550000,450000,450000,450000,450000,450000,550000
security,60500,60500,60500,49500,60500,60500,60500,74000,60500,60500,74000,60500,60500,60500,60500,60500,60500,90500,110000,110000,110000,135000,165000,135000
water,201000,201000,201000,165000,165000,165000,201000,246000,201000,201000,246000,201000,246000,246000,246000,201000,201000,201000,246000,246000,246000,201000,246000,246000
fashion,110000,90500,90500,90500,90500,90500,110000,90500,90500,90500,110000,90500,90500,90500,90500,74000,74000,90500,90500,90500,90500,90500,110000,90500
