Keyword,Searches: Feb 2014,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Searches: Oct 2014,Searches: Nov 2014,Searches: Dec 2014,Searches: Jan 2015,Searches: Feb 2015,Searches: Mar 2015,Searches: Apr 2015,Searches: May 2015,Searches: Jun 2015,Searches: Jul 2015,Searches: Aug 2015,Searches: Sep 2015,Searches: Oct 2015,Searches: Nov 2015,Searches: Dec 2015,Searches: Jan 2016
YELP,2740000,3350000,3350000,3350000,3350000,4090000,4090000,3350000,3350000,3350000,2740000,3350000,3350000,3350000,3350000,3350000,4090000,4090000,4090000,4090000,4090000,3350000,3350000,3350000
EXPRESS,1220000,1500000,1500000,1500000,1220000,1220000,1220000,1220000,1500000,2240000,2240000,1500000,1220000,1500000,1500000,1500000,1220000,1220000,1220000,1500000,1500000,2740000,2240000,1500000
SONIC,550000,673000,673000,1000000,823000,1000000,823000,673000,673000,673000,673000,823000,673000,823000,823000,1000000,1220000,1220000,1220000,1220000,1220000,1220000,1500000,1220000
NEW YORK TIMES,1500000,1830000,1500000,1500000,1220000,1500000,1500000,1830000,1830000,1830000,1500000,1830000,1500000,1830000,1500000,1500000,1500000,1500000,1500000,1830000,1830000,1830000,1500000,1830000
GOPRO,450000,450000,368000,450000,673000,673000,673000,673000,673000,823000,1000000,673000,550000,550000,550000,673000,673000,1000000,673000,550000,550000,823000,1000000,673000
TIME,673000,823000,673000,673000,550000,550000,550000,550000,550000,673000,450000,450000,368000,673000,450000,550000,550000,550000,673000,823000,823000,1000000,823000,823000
SHUTTERFLY,1500000,1500000,1830000,1830000,1830000,1500000,1500000,1830000,1830000,3350000,4090000,1830000,1500000,1500000,1830000,1830000,1830000,1500000,1830000,1830000,1830000,4090000,5000000,1830000
DILLARDS,1830000,1830000,1830000,1830000,1500000,1500000,1830000,1830000,1500000,2240000,2740000,2240000,1830000,1830000,1830000,1830000,1500000,1830000,1830000,1830000,1830000,2240000,2740000,2240000
DSW,1220000,1500000,1500000,1500000,1220000,1220000,1220000,1830000,1830000,1830000,1830000,1500000,1220000,1830000,1830000,1830000,1500000,1220000,1500000,1830000,2240000,2240000,2240000,1500000
FINISH LINE,1830000,1500000,1500000,1220000,1220000,1500000,1830000,1220000,1220000,1830000,2240000,1500000,1500000,1500000,1500000,1220000,1220000,1500000,1830000,1220000,1220000,1830000,2740000,1830000
HSN,1500000,1500000,1500000,1500000,1220000,1500000,1500000,1500000,1500000,2240000,2240000,1830000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,2240000,2240000,1500000
MARRIOTT,1220000,1220000,1220000,1220000,1220000,1500000,1220000,1220000,1220000,1000000,1000000,1220000,1220000,1500000,1220000,1220000,1220000,1500000,1220000,1220000,1220000,1000000,1000000,1220000
GUESS,368000,368000,368000,368000,368000,368000,368000,368000,368000,550000,673000,450000,368000,450000,450000,368000,368000,368000,368000,368000,450000,673000,673000,450000
RESTORATION HARDWARE,823000,1000000,823000,823000,823000,1000000,1000000,823000,1000000,1220000,1220000,1220000,823000,1000000,823000,823000,823000,823000,1000000,823000,1000000,1220000,1220000,1220000
LOGMEIN,550000,550000,550000,450000,450000,450000,450000,450000,550000,450000,450000,450000,450000,450000,450000,368000,368000,450000,368000,368000,368000,368000,368000,368000
POPEYES,450000,673000,550000,550000,550000,550000,673000,550000,673000,673000,673000,673000,673000,673000,673000,823000,823000,823000,823000,823000,823000,823000,823000,823000
ROGERS,33100,40500,33100,33100,27100,27100,33100,40500,33100,33100,40500,40500,33100,33100,33100,33100,33100,33100,40500,40500,40500,40500,40500,33100
GRUBHUB,673000,673000,673000,550000,550000,550000,550000,673000,673000,673000,823000,823000,1000000,823000,823000,823000,673000,823000,823000,823000,1000000,1000000,1000000,1000000
KRISPY KREME,368000,450000,368000,368000,550000,550000,368000,450000,450000,368000,550000,450000,550000,450000,550000,450000,823000,823000,550000,673000,550000,550000,823000,550000
UNIVERSAL,60500,74000,60500,60500,60500,60500,60500,60500,74000,60500,60500,74000,74000,74000,74000,74000,74000,90500,74000,74000,74000,74000,74000,90500
ZYNGA,301000,301000,301000,301000,301000,301000,246000,246000,201000,201000,165000,165000,165000,165000,165000,135000,110000,110000,110000,110000,110000,110000,110000,110000
WENDYS,368000,368000,368000,368000,450000,450000,368000,368000,368000,368000,368000,450000,368000,450000,550000,450000,550000,550000,550000,550000,550000,550000,673000,550000
AARONS,368000,368000,368000,450000,450000,368000,450000,450000,450000,450000,450000,450000,450000,450000,368000,450000,450000,450000,550000,550000,550000,550000,550000,450000
MORNINGSTAR,246000,246000,246000,201000,201000,201000,201000,201000,246000,201000,246000,246000,246000,246000,246000,201000,165000,201000,201000,165000,201000,165000,165000,201000
NELNET,368000,368000,368000,301000,301000,368000,301000,368000,368000,368000,368000,550000,550000,450000,450000,368000,368000,450000,450000,368000,450000,450000,450000,673000
SMITH and WESSON,450000,450000,301000,301000,246000,301000,301000,301000,301000,368000,368000,368000,368000,368000,301000,246000,246000,246000,301000,246000,301000,368000,550000,550000
NETGEAR,165000,135000,110000,110000,110000,110000,135000,135000,110000,135000,135000,135000,110000,110000,110000,110000,110000,110000,135000,135000,110000,135000,135000,135000
PLEXUS,90500,110000,110000,135000,165000,135000,110000,110000,135000,135000,135000,201000,201000,246000,246000,246000,301000,368000,301000,301000,301000,246000,246000,368000
PREMIER,60500,60500,60500,60500,49500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,74000,74000,74000,74000,74000,74000
FIVE BELOW,165000,201000,201000,201000,246000,246000,246000,201000,201000,301000,550000,201000,201000,246000,246000,246000,368000,368000,368000,301000,301000,450000,823000,301000
SCHOLASTIC,301000,301000,301000,301000,135000,90500,201000,550000,450000,368000,246000,301000,246000,301000,246000,246000,135000,90500,165000,450000,368000,368000,246000,301000
LA QUINTA,201000,301000,246000,301000,301000,301000,246000,246000,246000,201000,201000,246000,301000,301000,301000,301000,368000,368000,301000,301000,246000,201000,246000,246000
MSG,90500,110000,90500,90500,74000,74000,74000,110000,110000,110000,90500,110000,110000,110000,90500,90500,90500,90500,90500,90500,110000,110000,90500,110000
BOB EVANS,201000,246000,201000,201000,201000,246000,246000,246000,246000,301000,301000,246000,246000,301000,246000,301000,301000,301000,301000,301000,301000,368000,301000,301000
DENNYS,165000,165000,165000,165000,165000,201000,201000,165000,201000,246000,246000,201000,201000,246000,201000,246000,246000,246000,246000,246000,246000,301000,301000,301000
HIBBETT SPORTS,246000,246000,201000,201000,201000,301000,368000,246000,246000,368000,550000,246000,368000,301000,201000,201000,246000,368000,368000,201000,201000,301000,450000,246000
SEAWORLD,135000,246000,201000,201000,201000,201000,201000,90500,90500,90500,110000,110000,110000,165000,201000,201000,246000,246000,201000,135000,135000,165000,165000,135000
NIC,33100,33100,33100,33100,27100,33100,33100,40500,33100,33100,33100,33100,33100,33100,33100,33100,27100,33100,33100,33100,33100,33100,33100,33100
CHILDRENS PLACE,135000,165000,165000,135000,135000,201000,201000,201000,201000,301000,246000,135000,165000,201000,165000,165000,165000,246000,246000,246000,301000,368000,301000,201000
FRESH MARKET,165000,165000,165000,165000,165000,165000,165000,165000,165000,246000,246000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,246000,246000,201000
TUMI,90500,90500,90500,90500,90500,90500,90500,90500,90500,135000,165000,110000,90500,90500,90500,110000,110000,110000,110000,90500,110000,135000,165000,110000
GREEN DOT,246000,246000,246000,246000,246000,246000,301000,246000,301000,246000,301000,301000,246000,246000,201000,201000,201000,246000,201000,201000,246000,201000,246000,301000
PLANTRONICS,90500,90500,90500,90500,74000,74000,90500,90500,90500,90500,90500,90500,74000,90500,74000,74000,74000,74000,74000,74000,74000,90500,90500,90500
HANCOCK,33100,40500,40500,49500,40500,40500,60500,40500,74000,40500,49500,90500,49500,40500,60500,60500,40500,49500,60500,40500,49500,49500,60500,49500
CATO,110000,165000,165000,165000,135000,135000,110000,135000,135000,165000,165000,135000,135000,201000,201000,201000,165000,165000,165000,165000,165000,201000,201000,165000
LIFELOCK,165000,201000,201000,165000,165000,135000,165000,165000,165000,135000,165000,165000,301000,246000,201000,201000,201000,246000,165000,165000,165000,165000,165000,201000
WAGEWORKS,110000,135000,110000,110000,110000,110000,110000,110000,135000,135000,165000,201000,165000,201000,165000,135000,165000,135000,135000,135000,165000,165000,201000,246000
CEB,18100,18100,18100,18100,18100,18100,18100,22200,22200,18100,14800,22200,18100,22200,22200,18100,22200,22200,22200,22200,22200,18100,18100,22200
CREDIT ACCEPTANCE,90500,110000,110000,110000,110000,110000,110000,135000,135000,110000,135000,135000,135000,135000,135000,135000,135000,165000,165000,135000,165000,135000,165000,165000
INTERFACE,27100,33100,33100,27100,27100,27100,22200,33100,33100,27100,27100,27100,27100,33100,33100,27100,27100,27100,27100,33100,33100,33100,27100,33100
ZENDESK,33100,40500,40500,60500,40500,60500,40500,40500,49500,40500,40500,40500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,40500,49500
CABLE ONE,110000,110000,135000,110000,110000,110000,135000,110000,110000,110000,110000,135000,110000,135000,110000,135000,135000,135000,135000,135000,135000,135000,135000,135000
DREAMWORKS,40500,49500,40500,40500,49500,40500,33100,40500,40500,49500,40500,60500,40500,60500,49500,40500,40500,40500,40500,40500,33100,33100,33100,40500
SOLARCITY,27100,33100,60500,74000,74000,74000,60500,74000,74000,60500,60500,74000,90500,90500,90500,110000,90500,90500,110000,90500,110000,74000,90500,74000
BRIGGS and STRATTON,49500,74000,110000,135000,110000,110000,90500,90500,74000,60500,40500,49500,40500,49500,110000,135000,135000,110000,74000,60500,74000,60500,40500,49500
BRADY,14800,12100,12100,12100,12100,12100,18100,22200,27100,22200,18100,74000,49500,18100,18100,135000,40500,74000,135000,165000,40500,40500,33100,60500
HERMAN MILLER,49500,60500,60500,49500,49500,49500,49500,60500,60500,60500,49500,60500,60500,60500,60500,60500,49500,49500,49500,49500,49500,60500,49500,49500
PRICESMART,3600,4400,4400,4400,3600,4400,4400,4400,4400,5400,4400,4400,3600,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400
BANCORPSOUTH,90500,90500,90500,90500,90500,110000,110000,110000,110000,90500,110000,110000,110000,110000,90500,90500,110000,110000,110000,90500,110000,110000,110000,110000
PENSKE,90500,90500,90500,110000,135000,135000,110000,74000,74000,60500,60500,74000,74000,90500,90500,110000,110000,110000,110000,90500,74000,60500,60500,74000
RINGCENTRAL,74000,74000,74000,74000,74000,74000,74000,74000,90500,74000,74000,74000,74000,90500,90500,90500,90500,74000,90500,90500,90500,74000,74000,90500
IBERIABANK,60500,74000,74000,74000,74000,90500,90500,90500,90500,74000,90500,90500,90500,90500,90500,90500,90500,90500,90500,90500,90500,90500,90500,90500
SUPERVALU,14800,14800,14800,14800,12100,14800,27100,18100,14800,12100,12100,18100,14800,14800,14800,14800,14800,18100,18100,14800,18100,14800,14800,18100
COHERENT,27100,33100,33100,27100,27100,27100,33100,49500,40500,33100,33100,40500,40500,40500,40500,33100,27100,27100,33100,49500,49500,40500,33100,40500
WESBANCO,60500,60500,60500,60500,60500,60500,74000,74000,74000,60500,74000,74000,74000,74000,74000,74000,90500,90500,90500,74000,90500,74000,90500,74000
INDEPENDENT BANK,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,60500,74000,74000
POLYCOM,22200,22200,22200,22200,22200,22200,22200,22200,22200,18100,14800,22200,22200,22200,22200,18100,22200,22200,18100,18100,22200,18100,18100,22200
TRUSTMARK,60500,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,60500,60500,60500,60500,60500,49500,60500,60500
CHURCHILL DOWNS,22200,33100,110000,246000,90500,33100,27100,49500,33100,60500,22200,27100,22200,33100,135000,201000,90500,33100,33100,49500,33100,60500,14800,22200
XPO LOGISTICS,6600,8100,8100,8100,8100,12100,12100,12100,12100,9900,8100,9900,12100,9900,14800,22200,22200,22200,27100,110000,60500,74000,60500,74000
KNOLL,22200,27100,33100,22200,22200,22200,22200,27100,27100,27100,22200,22200,27100,27100,27100,22200,22200,22200,22200,27100,27100,27100,22200,33100
SOTHEBYS,14800,18100,18100,22200,14800,14800,14800,14800,18100,22200,14800,14800,14800,18100,18100,22200,14800,14800,14800,18100,22200,22200,18100,22200
STEELCASE,27100,33100,33100,27100,27100,27100,27100,27100,33100,27100,22200,27100,27100,33100,33100,27100,27100,27100,27100,27100,33100,27100,22200,27100
SWIFT TRANSPORTATION,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,60500,49500,60500,49500,49500,60500,60500,49500,49500,49500,49500,49500,60500
REDWOOD,14800,18100,18100,22200,18100,18100,18100,22200,22200,18100,18100,22200,18100,22200,22200,22200,22200,22200,22200,22200,22200,22200,18100,22200
LA Z BOY,33100,33100,33100,33100,33100,33100,40500,33100,33100,40500,40500,40500,33100,33100,33100,40500,33100,40500,40500,33100,33100,40500,40500,49500
US STEEL,22200,27100,27100,22200,22200,27100,22200,27100,33100,22200,22200,40500,27100,40500,40500,33100,27100,33100,40500,40500,40500,40500,40500,40500
KEMPER,9900,9900,9900,9900,9900,9900,9900,9900,12100,9900,9900,12100,9900,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100
HFF,8100,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,12100,9900,12100,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900
CONSOLIDATED COMMUNICATIONS,27100,27100,27100,33100,33100,40500,49500,49500,49500,49500,49500,49500,40500,49500,33100,27100,40500,49500,49500,40500,40500,49500,49500,49500
COMSCORE,18100,18100,18100,14800,14800,18100,14800,18100,18100,14800,14800,14800,18100,18100,18100,14800,14800,18100,14800,18100,18100,14800,12100,14800
EXPONENT,18100,14800,18100,14800,12100,12100,22200,40500,27100,18100,18100,22200,22200,22200,18100,22200,14800,12100,22200,33100,27100,18100,18100,27100
